artist,genres,popularity,followers,artist_id
Tones And I,"['australian pop', 'pop']",77,2886914,2NjfBq1NflQcKSeiDooVjY
Arizona Zervas,"['pop rap', 'rhode island rap']",72,643706,0vRvGUQVUjytro0xpb26bs
KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",87,20081766,790FomKkXshlbRYZFtlgla
Post Malone,"['dfw rap', 'melodic rap', 'rap']",91,35044259,246dkjvS1zLTtiykXe5h60
Maroon 5,"['pop', 'pop rock']",88,34099468,04gDigrS5kc9YWfZHwBETP
Trevor Daniel,"['alternative r&b', 'melodic rap', 'pop', 'pop rap']",73,662918,7uaIm6Pw7xplS8Dy06V6pT
Dua Lipa,"['dance pop', 'pop', 'uk pop']",92,30206009,6M2wZ9GZgrQXHCFfjv46we
Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",82,6257313,1yxSLGMDHlW21z4YXirZDS
Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",87,35506491,7n2wHs1TKAczGzO7Dd2rGr
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,39162506,1Xyo4u8uXC1ZmMpatF05PJ
Roddy Ricch,"['melodic rap', 'rap', 'trap']",83,7145253,757aE44tKEUQEqRuT6GnEB
Billie Eilish,"['art pop', 'electropop', 'pop']",92,53220445,6qqNVTkY8uBg9cP3Jd7DAH
Lewis Capaldi,"['pop', 'uk pop']",82,8922600,4GNC7GD6oZMSxPGyXy4MNB
Harry Styles,['pop'],87,17886878,6KImCVD70vtIoJWnq6nGn3
Bad Bunny,"['latin', 'reggaeton', 'trap latino']",97,40331783,4q3ewBCX7sLwd24euuV69X
Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",84,24443410,4nDoRrQiYLoBzwC5BhVJzF
blackbear,"['pop', 'pop rap']",84,4483579,2cFrymmkijnjDg9SS92EPM
Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",90,19599191,2R21vXR83lH98kGeO99Y66
Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",85,31558175,0C8ZW7ezQVs4URX5aX7Kqx
DaBaby,"['north carolina hip hop', 'rap']",89,8557260,4r63FhuTkUYltbVAg5TQnk
Regard,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",76,162974,4ofCBoyEiGSePFAG500xev
Travis Scott,"['rap', 'slap house']",92,19098533,0Y5tJX1MQlPlqiwlOH1tJY
Juice WRLD,"['chicago rap', 'melodic rap']",93,20905742,4MCBfE4596Uoi2O4DtmEMz
Ed Sheeran,"['pop', 'uk pop']",96,88765426,6eUKZXaKkcviH0Ku9w2n3V
Rauw Alejandro,"['puerto rican pop', 'trap latino']",92,8034372,1mcTU81TzQhprhouKaTkpq
Don Toliver,"['pop', 'rap', 'trap']",84,1864357,4Gso3d4CscCijv0lmajZWs
Lil Nas X,"['lgbtq+ hip hop', 'pop']",91,7950859,7jVv8c5Fj3E9VhNjxT4snq
Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",89,12437621,4O15NlyKLIASxsJ0PrXPfz
J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",93,31093805,1vyhD5VmyZ7KMfW5gqLgo5
Ariana Grande,"['dance pop', 'pop']",93,72526907,66CXWjxzNUsdJxJ2JdwvnR
Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",88,25092461,4VMYDCV2IEDYJArk749S6m
Y2K,['pop rap'],67,274692,6USMTwO0MNDnKte5a5h0xx
Dalex,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",81,3834413,0KPX4Ucy9dk82uj4GpKesn
Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",86,15676139,1SupJlEpv7RS2tPNRaHViT
Sam Smith,"['dance pop', 'pop', 'uk pop']",86,18180439,2wY79sveU1sp5g7SokKOiI
Jhay Cortez,"['latin', 'reggaeton', 'trap latino']",88,3032191,0EFisYRi20PTADoJrifHrz
MEDUZA,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']",79,473838,0xRXCcSX89eobfrshSVdyu
