artist,genres,popularity,followers,artist_id
Amy Shark,['australian pop'],61,364874,2DORQjKJVYZMx9uu82UGtT
Jubël,"['dance pop', 'deep house', 'edm', 'pop dance', 'swedish pop', 'tropical house']",68,54952,4FcZfItjVIsfO9TynErl7X
Guy Sebastian,"['australian pop', 'australian talent show']",65,445184,5PjekOABtfU2Kwo0AHVmci
Martin Jensen,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",72,1177746,4ehtJnVumNf6xzSCDk8aLB
Tom Gregory,"['tropical house', 'uk pop']",67,66552,6Rmg5JiRphFMlhkwGNl9Fu
Sheppard,"['australian indie', 'australian pop', 'dance pop', 'folk-pop', 'modern rock', 'pop', 'pop dance', 'pop rock', 'tropical house']",64,251220,6VxCmtR7S3yz4vnzsJqhSV
NOTD,"['alt z', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'tropical house']",70,210623,5jAMCwdNHWr7JThxtMuEyy
G Flip,"['australian alternative pop', 'australian indie', 'australian pop']",56,136610,4SdIXLzfabqU61iK7SnKAU
JP Cooper,"['neo mellow', 'pop', 'pop rock', 'tropical house', 'uk pop']",74,703430,4kYGAK2zu9EAomwj3hXkXy
RAYE,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk contemporary r&b', 'uk dance', 'uk pop']",76,459459,5KKpBU5eC2tJDzf0wmlRp2
Jess Glynne,"['australian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",76,2637524,4ScCswdRlyA23odg9thgIO
Sigala,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",75,1354767,1IueXOQyABrMOprrzwQJWN
John De Sohn,"['dance pop', 'deep pop edm', 'edm', 'pop dance', 'pop edm', 'progressive electro house', 'swedish pop', 'swedish tropical house', 'tropical house']",63,100287,3TVjdmhfFoYJLgBEkkZTBm
Matoma,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house']",71,669266,4YXycRbyyAE0wozTk7QMEq
Daya,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",74,1318909,6Dd3NScHWwnW6obMFbl1BH
GAMPER & DADONI,"['deep house', 'deep tropical house', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",66,113478,6HQ6vf4AloXyVNdyJhrX1J
Justin Stone,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'sad rap']",59,89423,5Vu87j6vCvfwc7FNVGnBwk
Ryan Caraveo,"['indie pop rap', 'pop rap', 'sad rap']",62,226121,1PDE2MIJ4M6uvFJDrslazf
Nate Good,"['deep underground hip hop', 'indie pop rap', 'pop rap']",48,47589,2OPyK48uFk5aZ8GKWa5FPl
gianni & kyle,"['pop rap', 'sad rap']",61,184463,5i4BaWy8YIun1u3RXwmlWn
Ryan Oakes,"['emo rap', 'indie pop rap', 'pop rap', 'sad rap']",60,91829,4l43uAIHyF5VzgonMKVkg7
Bazanji,['pop rap'],64,207899,3L8FZaw2Rg1oUw3vB4gUME
Jez Dior,"['deep underground hip hop', 'indie pop rap', 'pop rap']",51,74343,2tmWjaROlvLpahIZcvPLwi
Witt Lowry,"['pop rap', 'sad rap']",69,496303,5ghnxpW47ojtLHHyTLdxdY
Kid Quill,"['indiana hip hop', 'indie pop rap', 'pop rap']",56,94753,5vGXVYudNgm9E7jhXMM0Ro
Josh A,"['emo rap', 'meme rap', 'pop rap', 'sad rap']",73,520375,2rWCIhENZyPVDAeFC0ESWN
Croosh,['trap soul'],58,78600,0khqcsFxd6ans7Zh1JqraT
iamjakehill,"['dark trap', 'emo rap', 'pop rap', 'sad rap']",73,385900,26JloX1vHxGGrGUVeMItFJ
Christian French,"['alt z', 'electropop', 'pop']",64,215062,7naAJDAh7AZnf18YYfQruM
mike.,"['indie pop rap', 'pop rap', 'rap', 'rhode island rap']",71,457782,5G9kmDLg3OeUyj8KVBLzbu
Lucidious,['pop rap'],54,236624,0S8NV7XoWi7arXWSRqI3dS
Bryce Vine,"['electropop', 'pop', 'pop rap']",71,431477,1ShZZUjkbXCjhwrb18BA8I
Sik World,"['pop rap', 'rap', 'sad rap']",64,374521,39G9Mcs99KhOEtVuthwztS
Skizzy Mars,"['indie pop rap', 'pop rap', 'rap', 'underground hip hop']",58,290995,00Z3UDoAQwzvGu13HoAM7J
Mau y Ricky,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",78,4173362,2wkoKEfS6dXwThbyTnZWFU
Greeicy,"['colombian pop', 'latin', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano']",73,4430493,5dbaLmK5SHLLg8Z4CcTJpX
Nacho,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",70,3844838,2ayNSoKPCRAfjp6hQ76hRu
Lalo Ebratt,"['colombian hip hop', 'dominican pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",71,1495373,1GAymyGBvB4gQy5Z5LZ1Wj
CNCO,"['boy band', 'latin', 'latin pop', 'reggaeton']",74,8326246,0eecdvMrqBftK0M1VKhaF4
Sofía Reyes,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'reggaeton']",72,2161090,0haZhu4fFKt0Ag94kZDiz2
Mario Bautista,"['latin', 'latin pop', 'mexican pop', 'perreo', 'reggaeton', 'reggaeton mexicano', 'trap latino']",64,1470322,0AspLZGQkP38yddNoD0pLn
Cazzu,"['argentine hip hop', 'latin', 'latin pop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino']",76,4042327,6w3SkAHYPsQ1bxV7VDlG5y
Kevin Roldan,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",73,4299591,1RBzGO6Nm3uyhUSxP7EDWO
Natti Natasha,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",80,6944030,1GDbiv3spRmZ1XdM1jQbT7
Danny Ocean,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",78,3476916,5H1nN1SzW0qNeUEZvuXjAj
Rae Sremmurd,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,6647003,7iZtZyCzp3LItcw1wtPI3D
Huncho Jack,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",62,938293,6extd4B6hl8VTmnlhpl2bY
Quality Control,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,917460,6i392l38cR3uBPF0DbNs7S
Metro Boomin,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",82,2747770,0iEtIxbK0KxaSlF7G42ZOp
Desiigner,"['pop rap', 'rap', 'trap', 'viral trap']",68,3284218,7pFeBzX627ff0VnN6bxPR4
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",74,4194249,6PXS4YHDkKvl1wkIl4V8DL
Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",89,6765313,50co4Is1HCEo8bhOyUWKpn
Quavo,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,5359905,0VRj0yCOv2FXJNP47XQnx5
PnB Rock,"['melodic rap', 'pop rap', 'r&b', 'rap', 'trap', 'vapor trap']",75,3166503,21WS9wngs9AqFckK7yYJPM
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,3872304,3FUY2gzHeIiaesXtOAdB7A
The Script,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",76,6993845,3AQRLZ9PuTAozP28Skbq8V
DNCE,"['dance pop', 'pop', 'post-teen pop']",69,3984979,6T5tfhQCknKG4UnH90qGnz
Andy Grammer,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",74,1009060,2oX42qP5ineK3hrhBECLmj
Jonas Blue,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",78,3420261,1HBjj22wzbscIZ9sEb5dyf
Nick Jonas,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",70,7760218,4Rxn7Im3LGfyRkY2FlHhWi
Olly Murs,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",70,3082162,3whuHq0yGx60atvA2RCVRW
Jessie J,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",75,9319417,2gsggkzM5R49q6jpPvazou
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",72,942955,2l35CQqtYRh3d8ZIiBep4v
The Wanted,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",68,2361244,2NhdGz9EDv2FeUw6udu2g1
Cheat Codes,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'tropical house']",76,1979926,7DMveApC7UnC2NPfPvlHSU
Colbie Caillat,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",72,2233476,6aZyMrc4doVtZyKNilOmwu
Aries,"['emo rap', 'pop rap', 'sad rap']",69,283346,3hOdow4ZPmrby7Q1wfPLEy
Jutes,"['emo rap', 'sad rap', 'trap soul']",53,45846,53fzjsJnjEKkA6TdncuIM4
Global Dan,"['emo rap', 'melodic rap', 'sad rap', 'vapor trap']",52,137500,1lzugG0lqNh9nP6Fp2zG3c
Ollie,"['emo rap', 'pop rap', 'sad lo-fi', 'sad rap']",61,155472,5OyoCvyau6TiGqcCKnDBCR
Yung Pinch,"['emo rap', 'melodic rap', 'oc rap', 'pop rap', 'rap', 'sad rap', 'trap', 'underground hip hop', 'vapor trap']",64,475212,61qMnYXa1GxSBoV3IiYKjZ
Landon Cube,"['emo rap', 'sad rap', 'underground hip hop', 'vapor trap']",65,324039,04ei5kNgmDuNAydFhhIHnD
Lund,"['emo rap', 'pop rap', 'sad lo-fi', 'sad rap']",66,427242,5uLkZ7FWMTBUg1corQqdkR
MASN,"['emo rap', 'pop rap', 'sad lo-fi', 'sad rap']",64,78247,4HAfqyKr4Sqtab6ttHWXgE
Promoting Sounds,"['aesthetic rap', 'emo rap', 'pop rap', 'sad lo-fi', 'social media pop']",64,110147,5b0j3TTNSKCByBq4rHYKvG
Ouse,"['emo rap', 'sad lo-fi', 'sad rap']",61,80864,6R29RU7eyQHSNc5kaHPWJn
Lxst,"['emo rap', 'sad rap']",53,41858,2vxh38hZKAV0DlSpnv7cqT
7ru7h,"['emo rap', 'sad rap']",54,31912,5WnlPOcTodnSWDtjnrjmzv
Years & Years,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house']",73,1766581,5vBSrE1xujD2FXYRarbAXc
Rita Ora,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",78,7075660,5CCwRZC6euC8Odo6y9X8jr
Fifth Harmony,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",72,13595313,1l8Fu6IkuTP0U5QetQJ5Xt
will.i.am,"['dance pop', 'pop', 'pop rap']",76,3607894,085pc2PYOi8bGKj0PNjekA
Fergie,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",72,4741696,3r17AfJCCUqC9Lf0OAc73G
The Pussycat Dolls,"['dance pop', 'girl group', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",72,4711874,6wPhSqRtPu1UhRCDX5yaDJ
Far East Movement,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",68,1070602,698hF4vcwHwPy8ltmXermq
Taio Cruz,"['dance pop', 'pop', 'pop rap']",72,2025576,6MF9fzBmfXghAz953czmBC
Timbaland,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",78,2113996,5Y5TRrQiqgUO4S36tzjIRZ
LMFAO,"['dance pop', 'pop rap']",69,3869796,3sgFRtyBnxXD5ESfmbK4dl
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,8322761,0jnsk9HBra6NMjO2oANoPY
Ciara,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",73,5374407,2NdeV5rLm47xAvogXrYhJX
Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",85,8899080,0TnOYISbd1XYRBk9myaseg
Christina Aguilera,"['dance pop', 'pop', 'post-teen pop']",81,6568797,1l7ZsJRRS8wlW3WfJfPfNS
Why Don't We,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'teen pop']",74,3018242,2jnIB6XdLvnJUeNTy5A0J2
The Vamps,"['boy band', 'dance pop', 'pop', 'post-teen pop']",74,4858178,7gAppWoH7pcYmphCVTXkzs
Julia Michaels,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",80,4160781,0ZED1XzwlLHW4ZaG4lOT6m
PRETTYMUCH,"['boy band', 'chill r&b', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",65,1131179,5Y8eJDj37KhaEeqbVO7Ag1
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",85,10266652,13ubrt8QOOCPljQ2FL1Kca
Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']",79,3747209,360IAlyVv4PCEVjgyMZrxK
Majid Jordan,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']",71,653646,4HzKw8XcD0piJmDrrPRCYk
Jeremih,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",79,5425780,3KV3p5EY4AvKxOlhGHORLg
