track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
7wGoVu4Dady5GV0Sv4UIsx,0.522,0.142,159.772,0.0984,0.13,9.03e-05,0.577,5,218320,-6.594,0,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.517,0.104,104.992,0.0312,0.186,3.8e-05,0.768,7,216897,-4.323,0,0.418
2ekn2ttSfGqwhhate0LSR0,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,0.762,9,209320,-6.021,0,0.608
7EmGUiUaOSGDnUUQUDrOXC,0.802,0.177,124.989,0.0394,0.139,0.0,0.715,11,197993,-4.647,0,0.327
7qiZfU4dY1lWllzX7mPBI3,0.652,0.0931,95.977,0.0802,0.581,0.0,0.825,1,233713,-3.183,0,0.931
5UEnHoDYpsxlfzWLZIc7LD,0.748,0.0759,90.052,0.473,0.17,0.0,0.757,8,221013,-5.794,0,0.693
1zsG4eaZmkA1dvjDDsAGLK,0.895,0.097,96.022,0.0411,0.0322,0.0,0.724,7,173720,-3.617,1,0.64
3hBBKuWJfxlIlnd9QFoC8k,0.615,0.0855,110.009,0.0671,0.0786,2.98e-06,0.795,5,199849,-5.211,0,0.393
43ZyHQITOjhciSUUNPVRHc,0.523,0.117,119.889,0.0597,0.239,0.0,0.936,5,124056,-6.71,1,0.699
5k38wzpLb15YgncyWdTZE4,0.731,0.308,87.908,0.0868,0.0534,0.0,0.589,2,268867,-6.343,1,0.191
0tgVpDi06FyKpA1z0VMD4v,0.448,0.106,95.05,0.0232,0.163,0.0,0.599,8,263400,-6.312,1,0.168
5CtI0qwDJkDQGwXD1H1cLb,0.815,0.0924,88.931,0.12,0.229,0.0,0.694,2,228827,-4.328,1,0.813
6mrKP2jyIQmM0rw6fQryjr,0.716,0.173,148.015,0.111,0.33,0.0,0.659,5,212120,-5.673,0,0.437
4lESS6vuruP6a79KWRaQou,0.768,0.162,98.989,0.122,0.283,2.25e-05,0.871,4,184067,-5.401,0,0.765
7vGuf3Y35N4wmASOKLUVVU,0.761,0.17,141.971,0.0853,0.256,4.96e-06,0.52,4,180823,-3.093,1,0.286
6Za3190Sbw39BBC77WSS1C,0.813,0.255,79.997,0.0561,0.03,9.33e-05,0.814,2,232550,-3.023,0,0.839
