"track_id","Artist","Track.Name","top.rank","total.plays","average.daily.plays","days.in.chart","artist_id","followers","genres","popularity","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","key","duration_ms","loudness","mode","valence"
"003eoIwxETJujVWmNFMoZy","Alessia Cara","Growing Pains",91,9809956,700711.142857143,14,"2wUjUUtkb5lvLKcGKsKqsR",4431425,"[u'canadian contemporary r&b', u'dance pop', u'pop', u'post-teen pop', u'r&b']",83,0.755,0.39,191.153,0.733,0.0822,0,0.353,1,193680,-6.276,0,0.437
"00B7TZ0Xawar6NZ00JFomN","Cardi B","Best Life (feat. Chance The Rapper)",61,11882167,848726.214285714,14,"4kYSro6naA4h99UJvo89HB",5927731,"[u'pop', u'rap']",94,0.625,0.314,167.911,0.553,0.287,0,0.62,9,284856,-7.438,1,0.665
"00EPIEnX1JFjff8sC6bccd","Thalía","No Me Acuerdo",62,109991625,833269.886363636,132,"23wEWD21D4TPYiJugoXmYb",1725195,"[u'dance pop', u'latin', u'latin pop', u'mexican pop', u'pop', u'tropical']",78,0.799,0.092,94.033,0.0873,0.187,0,0.836,7,217653,-4.247,0,0.772
"00gpGR84M27moP7AFuqHIx","DJ A1","Bounce Out With That FT. YBN Nahmir",124,4816077,688011,7,"76STnzdGp9dpBe7nX7rQB2",11,"[]",0,0.56,0.153,94.949,0.173,0.0426,0,0.857,8,91011,-8.278,1,0.482
"00TVmX9spquyg0UKuN57l3","Fall Out Boy","HOLD ME TIGHT OR DON’T",182,557997,557997,1,"4UXqAaa6dQYAk18Lv7PEgX",5729744,"[u'emo', u'modern rock', u'pop punk']",83,0.919,0.107,95.991,0.05,0.0063,2.5e-06,0.581,6,210347,-4.324,0,0.847
"00zzSEe82JTtz68XlARnh7","Aldair Playboy","Amor Falso",154,6981926,581827.166666667,12,"6LjdKBMnP1Da8Oe6WhrN56",324261,"[u'brega funk']",66,0.55,0.0548,153.963,0.0554,0.279,0,0.767,4,177816,-11.498,1,0.9
"01dmH2IPkrLNWIMPNXlreE","BTS","Paradise",71,4806223,801037.166666667,6,"3Nrfpe0tUJi4K4DXYWgMUX",8375810,"[u'k-pop']",90,0.828,0.0571,139.413,0.365,0.214,0,0.519,5,211224,-5.523,1,0.929
"01k24g94i1JvkFLQmVEdCd","Years & Years","If You're Over Me",59,65644089,763303.360465116,86,"5vBSrE1xujD2FXYRarbAXc",931140,"[u'dance pop', u'gauze pop', u'pop', u'tropical house']",77,0.853,0.062,103.846,0.0904,0.0615,0,0.647,8,189000,-4.516,1,0.618
"01TnVDiet1DFTsyWKUKovl","XXXTENTACION","NUMB",15,53948923,870143.919354839,62,"15UsOTVnJzReFVN1VCnxy4",9514880,"[u'emo rap', u'miami hip hop']",99,0.416,0.131,159.91,0.0251,0.1,0.179,0.414,11,186268,-8.024,0,0.196
"01vv2AjxgP4uUyb8waYO5Y","Twenty One Pilots","Morph",28,11363367,946947.25,12,"3YQKmKGau1PzlVlkL1iodx",11129189,"[u'pop punk', u'rock']",88,0.607,0.0968,90.023,0.0806,0.0747,0.000577,0.734,8,258853,-7.249,0,0.518
"01z2fBGB8Hl3Jd3zXe4IXR","Mac Miller","Come Back to Earth",50,5173152,862192,6,"4LLpKhyESsyAXpc4laK94U",2868811,"[u'hip hop', u'pop rap', u'rap']",86,0.238,0.275,83.507,0.0349,0.89,0.00925,0.272,2,161840,-12.148,0,0.119
"0247StOpd3AkeBQzANX4Zf","Band Aid","Do They Know It's Christmas? - 1984 Version",8,62502461,1785784.6,35,"35S20clEkkSNUo23ViaslZ",13901,"[u'christmas']",78,0.642,0.0992,115.412,0.0363,0.164,3.33e-05,0.599,0,222533,-6.936,1,0.349
"03iCbZaM4OkRR4We6wIzvx","BTS","IDOL",38,32172414,784693.024390244,41,"3Nrfpe0tUJi4K4DXYWgMUX",8375810,"[u'k-pop']",90,0.857,0.103,126.038,0.0881,0.00219,0,0.709,9,260234,-3.394,1,0.446
"03It1uO69CjGWP3yyVe465","Nicki Minaj","Chun Swae (feat. Swae Lee)",123,1903901,634633.666666667,3,"0hCNtLu0JehylgoiP8L4Gh",13790129,"[u'dance pop', u'hip pop', u'pop', u'pop rap']",95,0.421,0.136,141.01,0.0648,0.0656,0.00151,0.848,10,370440,-8.025,0,0.212
"03vyB3AHCuEGfhh7wPc7Yf","Shawn Mendes","When You're Ready",112,2165539,721846.333333333,3,"7n2wHs1TKAczGzO7Dd2rGr",13933939,"[u'canadian pop', u'dance pop', u'pop', u'post-teen pop', u'viral pop']",90,0.473,0.113,171.535,0.129,0.792,0,0.49,5,169587,-8.887,1,0.603
"04cd1MHVq1D8v1nuTZoCdv","Piso 21","Puntos Suspensivos",168,2439718,609929.5,4,"4bw2Am3p9ji3mYsXNXtQcd",2574430,"[u'colombian pop', u'latin', u'latin pop']",82,0.731,0.131,152.024,0.103,0.175,0,0.823,11,186316,-3.399,0,0.952
"04CyO54TZk5tEylFg2Df41","Thirty Seconds To Mars","Love Is Madness (feat. Halsey)",155,669078,669078,1,"0RqtSIYZmd4fiBKVFqyIqD",2039861,"[u'modern rock', u'pop punk', u'post-grunge', u'rock']",74,0.675,0.219,106.171,0.0441,0.0128,0.000246,0.382,0,234867,-6.56,1,0.449
"04MLEeAMuV9IlHEsD8vF6A","French Montana","No Stylist",23,123232326,1232323.26,100,"6vXTefBL93Dj5IqAWq6OTv",2293365,"[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",86,0.704,0.227,147.055,0.127,0.0215,0,0.765,5,192172,-4.589,0,0.498
"04vLj9QUXoKdRlsp3gkURo","Bing Crosby","Mele Kalikimaka (Merry Christmas)",101,2313200,1156600,2,"6ZjFtWeHP9XN7FeKSUe80S",207600,"[u'adult standards', u'christmas', u'easy listening']",87,0.224,0.284,202.481,0.0935,0.646,0,0.5,3,175333,-12.431,1,0.62
"05bnEv2dpFzmGVLGdjD9UP","XXXTENTACION","Orlando",73,1881828,940914,2,"15UsOTVnJzReFVN1VCnxy4",9514880,"[u'emo rap', u'miami hip hop']",99,0.0279,0.254,84.902,0.0588,0.859,0.0892,0.57,1,163840,-22.282,1,0.28
"05mAIVLkIWc2d1UBYZBCp8","Charli XCX","1999",81,32852205,801273.292682927,41,"25uiPmTg16RbhZWAqwLBy5",1369955,"[u'candy pop', u'dance pop', u'edm', u'electropop', u'hip pop', u'metropopolis', u'pop', u'post-teen pop', u'r&b', u'tropical house']",80,0.742,0.229,124.016,0.0329,0.0227,1.39e-06,0.739,7,189000,-4.586,1,0.659
"05r1GGg1Rhs0RcUg27C82a","Lil Wayne","Famous (feat. Reginae Carter)",27,9540689,1192586.125,8,"55Aa2cqylxrFIXC767Z865",7158460,"[u'hip hop', u'pop rap', u'rap', u'trap music']",91,0.568,0.25,149.857,0.143,0.0301,0,0.624,9,242050,-5.664,1,0.115
"066QkK1heGoXBUPBbcOhEG","Logic","The Glorious Five",126,932263,932263,1,"4xRYI6VqpkE3UwrDrAZL8L",3200383,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",86,0.85,0.39,91.99,0.044,0.039,0,0.826,10,216520,-7.451,0,0.433
"06GcodDliPWAYFX2LSFLIu","Khalid","Vertigo",36,7823467,977933.375,8,"6LuN9FCkKOj5PcnpouEgny",4463098,"[u'pop']",95,0.458,0.117,115.989,0.0371,0.552,0.0257,0.487,4,270413,-7.761,0,0.207
"06Vthiq8nNDuT5nOcch535","The 1975","Sincerity Is Scary",140,738496,738496,1,"3mIj9lX2MWuHmhNCA7LSCW",2738235,"[u'modern alternative rock', u'nu gaze', u'pop', u'shiver pop']",85,0.524,0.075,91.027,0.0283,0.0495,8.18e-06,0.664,2,225956,-5.178,1,0.475
"07FkzikE6FuHIa8Ma7zJGc","NF","Lie",108,13235639,630268.523809524,21,"6fOMl44jA4Sp5b9PpYCkzz",1502106,"[u'hip hop']",83,0.66,0.236,95.003,0.133,0.161,0,0.753,5,209213,-6.542,1,0.182
"07qlsG6DYRLBbovwca9Vbr","Michael Schulte","You Let Me Walk Alone",126,1271569,635784.5,2,"21aa4pj9BvbFB2iT8kRpnq",65589,"[u'german pop', u'indie cafe pop']",65,0.279,0.103,74.786,0.03,0.783,0,0.451,11,177886,-9.953,1,0.424
"07VJGBnywGutMZ72kRyEop","Swae Lee","Hurt To Look (feat. Rae Sremmurd)",190,582233,582233,1,"1zNqQNIdeOUZHb8zbZRFMX",285036,"[u'trap music']",93,0.675,0.119,104.948,0.133,0.152,2.35e-05,0.593,2,256000,-5.655,0,0.224
"07W9fL0ee9LsqD9c3kNrdo","Migos","Notice Me",54,30193632,718896,42,"6oMuImdp5ZcFhWP0ESe6mG",8097451,"[u'atl hip hop', u'pop', u'rap', u'trap music']",87,0.341,0.198,165.917,0.373,0.111,1.08e-06,0.797,5,233880,-9.733,0,0.423
"083Qf6hn6sFL6xiOHlZUyn","Jess Glynne","I'll Be There",54,82990656,805734.524271845,103,"4ScCswdRlyA23odg9thgIO",1232108,"[u'dance pop', u'pop', u'post-teen pop', u'tropical house']",83,0.851,0.12,100.063,0.0409,0.0228,0,0.623,7,193924,-3.111,1,0.4
"08bNPGLD8AhKpnnERrAc6G","Marshmello","FRIENDS",3,597890782,1845341.91975309,324,"64KEffDW9EtZ1y2vBYgq8T",7677676,"[u'brostep', u'egyptian pop', u'pop', u'progressive electro house']",90,0.88,0.128,95.079,0.0504,0.205,0,0.626,9,202621,-2.384,0,0.534
"093RgZ7RXHZwIrxZhZYX4Q","Capo Plaza","Tesla (feat. Sfera Ebbasta & DrefGold)",188,2412983,603245.75,4,"5SulO4l40qDuV9zUGLZx7n",1461201,"[u'italian hip hop']",77,0.626,0.0961,140.05,0.0618,0.316,0,0.854,11,185147,-5.14,1,0.377
